player,team
Sean,Ohio State
Sean,Miami
Sean,LSU
Sean,Navy
Sean,Army
Sean,Jacksonville State
Randy,Notre Dame
Randy,Kansas State
Randy,Louisiana
Randy,Utah
Randy,East Carolina
Randy,Western Kentucky
Justin,Oregon
Justin,Clemson
Justin,Indiana
Justin,Georgia Tech
Justin,Tennessee
Justin,Nebraska
Matthew,Penn State
Matthew,Memphis
Matthew,SMU
Matthew,Illinois
Matthew,Oklahoma
Matthew,Miami (OH)
Futa,Georgia
Futa,Arizona State
Futa,South Carolina
Futa,Buffalo
Futa,Arkansas State
Futa,Colorado State
Ben,Texas
Ben,UNLV
Ben,Michigan
Ben,Ole Miss
Ben,Kansas
Ben,UTSA
Austin,Toledo
Austin,Alabama
Austin,San José State
Austin,Iowa State
Austin,Florida
Austin,Baylor
Nick,Liberty
Nick,James Madison
Nick,BYU
Nick,Georgia Southern
Nick,Missouri
Nick,USC
Oliver,Boise State
Oliver,Tulane
Oliver,Texas Tech
Oliver,Louisville
Oliver,Texas A&M
Oliver,Ohio
