player,team
Sean,Georgia
Sean,Utah
Sean,Michigan
Sean,Toledo
Sean,Iowa
Sean,East Carolina
Randy,Ohio State
Randy,North Texas
Randy,BYU
Randy,Virginia
Randy,Delaware
Randy,Bowling Green
Justin,Penn State
Justin,Texas
Justin,Houston
Justin,Ole Miss
Justin,Old Dominion
Justin,UCLA
Matthew,Miami
Matthew,South Florida
Matthew,Boise State
Matthew,UTSA
Matthew,Miami (OH)
Matthew,California
Futa,Notre Dame
Futa,Western Michigan
Futa,Navy
Futa,Hawai'i
Futa,Louisiana
Futa,Nebraska
Ben,Texas Tech
Ben,James Madison
Ben,Louisville
Ben,UNLV
Ben,Oklahoma
Ben,Washington
Austin,Indiana
Austin,Texas A&M
Austin,USC
Austin,Clemson
Austin,LSU
Austin,Florida State
Nick,Oregon
Nick,SMU
Nick,Alabama
Nick,Tulane
Nick,Jacksonville State
Nick,San Diego State
Oliver,North Dakota State
Oliver,Liberty
Oliver,New Mexico
Oliver,Kansas State
Oliver,NC State
Oliver,Illinois
