player,team
Sean,Ohio State
Sean,Clemson
Sean,Oregon
Sean,Liberty
Sean,Air Force
Sean,Louisville
Randy,Notre Dame
Randy,Colorado
Randy,South Alabama
Randy,Western Kentucky
Randy,Kansas State
Randy,UCF
Justin,Alabama
Justin,Tennessee
Justin,TCU
Justin,Oregon State
Justin,Pittsburgh
Justin,North Texas
Matthew,USC
Matthew,Penn State
Matthew,Boise State
Matthew,Utah
Matthew,SMU
Matthew,Texas A&M
Futa,Georgia
Futa,Cincinnati
Futa,Fresno State
Futa,Louisiana Tech
Futa,San Diego State
Futa,Temple
Ben,Michigan
Ben,Oklahoma
Ben,Tulane
Ben,Ohio
Ben,Troy
Ben,Miami
Austin,Wisconsin
Austin,Washington
Austin,Ole Miss
Austin,North Carolina
Austin,Illinois
Austin,Coastal Carolina
Nick,LSU
Nick,Florida State
Nick,Iowa
Nick,Texas Tech
Nick,UAB
Nick,Kansas
Oliver,Toledo
Oliver,Texas
Oliver,James Madison
Oliver,UTSA
Oliver,UCLA
Oliver,Sam Houston
